,trialId,foodDist,ProbabilityOfReturningToNest,RateOfInformedSearchDecay,RateOfLayingPheromone,RateOfSiteFidelity,RateOfPheromoneDecay,UninformedSearchVariation,fitnessScore,fitness,ProbabilityOfSwitchingToSearching
940,940.0,2.0,0.986795206241,0.496806577915,3.02445161087,18.6681384922,1.4013543387,5.24757596264,0.001953125,0.001953125,0.950506028822
863,863.0,2.0,0.966322725511,5.0,19.9810720776,6.41601738469,7.7851494378,12.5626084292,0.00247395833333,0.00247395833333,0.91577658456
83,83.0,2.0,0.79727229533,5.0,15.3847700325,1.27729428675,10.0,12.0830882401,0.003125,0.003125,0.972003787852
1011,1011.0,2.0,0.923070649238,4.99999999999,0.0775160435561,1.1417700217,10.0,0.127375993229,0.003125,0.003125,0.932143475702
495,495.0,2.0,0.966414419433,3.44314156627,3.8005154129,18.9080483998,10.0,3.84883257085,0.003125,0.003125,0.916658063079
1201,1201.0,2.0,0.78334082241,4.9999091432,8.3570290628,18.8197228505,10.0,11.3156260275,0.003125,0.003125,0.97660064369
2671,2671.0,2.0,0.99929080769,4.99998498602,19.8438828517,1.29598388337,10.0,3.42876572037,0.00325520833333,0.00325520833333,0.902216361219
631,631.0,2.0,0.744191303028,5.0,18.3750141436,18.2728573234,3.98715256332,11.1423878299,0.00338541666667,0.00338541666667,0.969967648507
24,24.0,2.0,0.956471691986,5.0,5.64334869385,0.783369541168,9.99999978399,5.52184969941,0.003515625,0.003515625,0.722451090813
764,764.0,2.0,0.832216706199,5.0,0.323628640059,18.9994434603,10.0,0.681404744271,0.00364583333333,0.00364583333333,0.981059857319
161,161.0,2.0,0.951423857811,4.99646439286,10.9013954023,18.9588809248,10.0,12.4282023231,0.00364583333333,0.00364583333333,0.926053168303
1166,1166.0,2.0,0.709310635734,5.0,3.06567983648,2.52495301055,7.55095810004,4.12005682092,0.00364583333333,0.00364583333333,0.97947835987
246,246.0,2.0,0.827347264772,1.31578019475,5.75005092277,1.11477683769,9.79424686095,0.523510895758,0.00377604166667,0.00377604166667,0.925769854745
273,273.0,2.0,0.781111474625,4.99999999963,15.6622369104,1.38916376709,10.0,5.46082778939e-05,0.00377604166667,0.00377604166667,0.959892374857
844,844.0,2.0,0.822527144035,5.0,17.2118812976,19.516284482,9.53417147888,11.6961283169,0.00377604166667,0.00377604166667,0.974146915943
956,956.0,2.0,0.824534497514,4.94434270096,19.1977671362,0.242924649412,10.0,0.543620348535,0.00377604166667,0.00377604166667,0.930364620984
716,716.0,2.0,0.581227431095,3.69785933663,0.876714778097,17.6268744008,4.17310157198,9.96233186274,0.00377604166667,0.00377604166667,0.920304675688
842,842.0,2.0,0.671389301503,2.84222797405,1.51219485991,7.06684224045,10.0,12.3504288786,0.00377604166667,0.00377604166667,0.904764964522
521,521.0,2.0,0.907470833058,4.99999999992,1.41571934474,18.4402399258,10.0,0.378971207929,0.00377604166667,0.00377604166667,0.958818388378
359,359.0,2.0,0.77515554347,5.0,18.6727257037,4.04770383708,10.0,0.90995007282,0.00390625,0.00390625,0.74659019557
549,549.0,2.0,0.657681554183,3.63265886442,7.8569312483,0.470352296707,10.0,12.196725587,0.00390625,0.00390625,0.91594568133
644,644.0,2.0,0.846873238182,4.98942586358,1.55120123688,19.6459430619,10.0,12.1822048691,0.00390625,0.00390625,0.75098901971
700,700.0,2.0,0.469918458471,5.0,0.130923904145,19.6801444452,9.61741531705,12.122641732,0.00416666666667,0.00416666666667,0.734881932016
1013,1013.0,2.0,0.729648777425,0.974749314116,18.5703879562,2.17664769453,0.183089747781,1.46041001848,0.00416666666667,0.00416666666667,0.932650902464
122,122.0,2.0,0.649319201572,5.0,19.3400829272,2.00936131295,9.99999999846,12.501505202,0.004296875,0.004296875,0.763437255873
464,464.0,2.0,0.938590632952,5.0,16.4597951016,1.44521351486,10.0,8.93312379091,0.00442708333333,0.00442708333333,0.988052944221
532,532.0,2.0,0.716448724071,2.97203121377,4.25262154819,16.8167280298,9.87630248528,11.8677266039,0.00442708333333,0.00442708333333,0.910972647957
1098,1098.0,2.0,0.682479134473,4.95106021161,3.27311818207,0.170658497078,9.9999999997,1.05412622507,0.00455729166667,0.00455729166667,0.951145775914
642,642.0,2.0,0.706874017164,4.99996860931,0.21069681702,0.478767514704,9.88542966089,1.75360871661,0.0046875,0.0046875,0.902242324214
682,682.0,2.0,0.501367983489,5.0,2.52286356859,19.8101050633,9.99999824391,11.0732541716,0.00481770833333,0.00481770833333,0.963907802602
787,787.0,2.0,0.62945173072,5.0,1.50300339553,1.11004868518,9.99999979817,12.3538498006,0.00481770833333,0.00481770833333,0.994280242374
604,604.0,2.0,0.680752297952,5.0,1.42236346385,1.38972480138,9.63831887083,9.62997207014,0.00481770833333,0.00481770833333,0.955662533336
95,95.0,2.0,0.660579495757,4.98904737294,12.8535927002,19.9499808838,10.0,2.07960239746,0.00481770833333,0.00481770833333,0.986421608484
544,544.0,2.0,0.617623027026,5.0,15.9365315212,19.495889727,10.0,12.2233150886,0.005078125,0.005078125,0.73387191231
1095,1095.0,2.0,0.970664439588,5.0,11.6268211368,11.5419547186,9.9993461566,1.16172055749,0.005078125,0.005078125,0.630908867214
455,455.0,2.0,0.516739515549,4.98843478787,19.4255336909,12.2102384602,10.0,12.1849097696,0.005078125,0.005078125,0.870743945107
214,214.0,2.0,0.952840154496,2.42495275692,0.132554673912,3.27227274204,10.0,1.53542853363,0.005078125,0.005078125,0.660198629531
297,297.0,2.0,0.740373735119,5.0,0.7256011336,1.14039947116,10.0,11.6924430067,0.005078125,0.005078125,0.768107081234
68,68.0,2.0,0.649796421303,2.3564653191,6.19199061702,19.7197223825,10.0,9.63262777086,0.00520833333333,0.00520833333333,0.998532061236
761,761.0,2.0,0.524431333067,5.0,16.4316324387,19.3296269842,10.0,12.2909409604,0.00520833333333,0.00520833333333,0.865475047079
515,515.0,2.0,0.55547749734,2.24581128372,0.175807096312,8.19552982734,10.0,7.8459606762,0.00533854166667,0.00533854166667,0.822546832034
391,391.0,2.0,0.65008817946,4.99923351879,19.7892572582,17.90777407,10.0,1.8522014565,0.00546875,0.00546875,0.968340956292
299,299.0,2.0,0.729759239913,3.88451081175,16.9906337622,17.8698014154,9.51926472995,10.460339444,0.00546875,0.00546875,0.886456275965
839,839.0,2.0,0.758077225975,1.30134650794,0.732051360493,19.4729766525,10.0,2.57532705077,0.00572916666667,0.00572916666667,0.90334045901
2179,2179.0,2.0,0.455171419738,4.99999999998,6.1760104086,10.1015350306,9.99999999992,5.75518908492,0.00572916666667,0.00572916666667,0.667693705332
329,329.0,2.0,0.811422436255,5.0,3.21262288849,18.2499786438,10.0,1.16122237597,0.005859375,0.005859375,0.906286114494
121,121.0,2.0,0.54690780761,4.99998992257,2.54525863609,19.5532617237,8.81592047147,12.4097033013,0.005859375,0.005859375,0.981174259316
981,981.0,2.0,0.418768930156,5.0,16.5125019945,17.1446724923,10.0,12.4175533234,0.00598958333333,0.00598958333333,0.986488382464
1873,1873.0,2.0,0.696559691604,4.99567610299,14.3375877112,13.3219013699,9.99999999994,0.130562407825,0.00611979166667,0.00611979166667,0.659606760739
181,181.0,2.0,0.443460093704,5.0,17.8507263026,18.9640992959,9.94016460362,10.4061243229,0.00625,0.00625,0.987326175725
749,749.0,2.0,0.490794099328,4.99997939933,18.900883951,19.5758512689,9.8549403676,12.5634128499,0.00625,0.00625,0.910789852879
725,725.0,2.0,0.43287230593,5.0,1.57570602907,0.548781348869,10.0,9.87272810536,0.00625,0.00625,0.983754089849
243,243.0,2.0,0.692626895502,4.03021198043,17.6961393696,18.5085431132,1.94325130619,2.00312952825,0.00625,0.00625,0.947706481085
188,188.0,2.0,0.543269684437,2.75890636429,2.64277075337,5.82598928946,10.0,0.423739162115,0.00638020833333,0.00638020833333,0.968835791178
724,724.0,2.0,0.781593984662,3.50959496973,17.95230626,9.23752862224,4.58112706981,0.018483557849,0.00638020833333,0.00638020833333,0.608439395484
550,550.0,2.0,0.533352273038,4.98885204714,19.1910206279,19.9524664879,10.0,7.52386348361,0.00638020833333,0.00638020833333,0.991724443776
924,924.0,2.0,0.428095573927,4.66261691015,19.2031303483,17.6411854943,10.0,11.1276773348,0.00651041666667,0.00651041666667,0.985645894526
578,578.0,2.0,0.625272009513,5.0,1.09019250564,0.559638702459,10.0,2.06886123724,0.00651041666667,0.00651041666667,0.999359473691
721,721.0,2.0,0.735144335738,4.99967358964,3.83733030564,1.60930222378,0.912588726204,2.53346021497,0.006640625,0.006640625,0.932624879923
72,72.0,2.0,0.521418767617,4.99999999997,4.92521930521,8.77070753935,10.0,11.9440142081,0.00677083333333,0.00677083333333,0.717400071294
306,306.0,2.0,0.518673615388,5.0,11.1726846737,0.0441784254755,10.0,10.1674081059,0.00677083333333,0.00677083333333,0.775622654052
1828,1828.0,2.0,0.821064884174,4.99136264318,7.34840555206,7.23989067601,9.99999999377,3.13442617672,0.00677083333333,0.00677083333333,0.740467680118
1041,1041.0,2.0,0.990428042883,4.47297559101,5.92802846738,19.1730864452,10.0,2.46583253756,0.00690104166667,0.00690104166667,0.602368432444
1582,1582.0,2.0,0.593471018988,4.99999972637,0.971971505876,12.0817557428,9.99992647263,5.09589440057,0.00703125,0.00703125,0.566601148505
594,594.0,2.0,0.561108914517,5.0,0.451399679552,17.836079391,9.9980382594,11.3382510496,0.00729166666667,0.00729166666667,0.771952830617
58,58.0,2.0,0.566555518785,5.0,19.8222600763,0.0452108654097,9.99796476828,12.3226195811,0.00729166666667,0.00729166666667,0.748736134499
283,283.0,2.0,0.588931230107,4.99806020583,0.376948676445,11.0826719724,10.0,0.408559668319,0.00768229166667,0.00768229166667,0.975904489592
982,982.0,2.0,0.597473212866,4.68833671418,19.4812675281,17.7626895511,10.0,10.2833584861,0.00768229166667,0.00768229166667,0.91209240773
1206,1206.0,2.0,0.51243153746,4.99999999708,12.6836325935,2.47036004032,9.14112982596,12.2372763898,0.0078125,0.0078125,0.756138880804
92,92.0,2.0,0.634641797277,5.0,4.79069178496,0.938194628868,10.0,12.3864590304,0.00794270833333,0.00794270833333,0.681598964963
240,240.0,2.0,0.460514080102,5.0,0.917877216027,0.123680349958,10.0,8.48333235161,0.00794270833333,0.00794270833333,0.975549017448
